TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2018-03-17 08:05:18.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-03-17 08:05:19.465,1.240261706722696,-0.2633520756786329,0.3153762052253777,1.492880787004992,0.8940201265051849,-0.4205077166605249,0.2291144885935358,1.025745252204502,0.8474738659652512,-0.174956777009943,-0.03425094860931906,1.047190814001715,0.08366317090826132,-0.5155042895214934,-0.5279303251534202,0.4986173430964116,-0.5115295148388084,-1.133622361223079,-0.9895959015574154,0.8152845226120312,827.2161172161173,850.989010989011,850.1831501831502,796.5934065934066,859.047619047619,0.199097,0.013489,0.972839,-1.443024,1.099091,5.383301,1,1,1,1,1,98.953125
2018-03-17 08:05:20.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-03-17 08:05:20.450,0.3300006235205847,0.4020054141635602,-0.08868630088269785,1.200458850524222,0.6128695772439582,-0.1230469245757772,-0.5191615835132344,0.7351129209715108,0.4264206875282756,0.08435355976286688,-0.1990347519696838,0.7753755755561497,-0.105758194282545,-0.6389331716227147,-0.3838652761370531,0.6218950230245248,-0.4762642612485805,-0.9912127553929425,-0.8579938430705372,0.8494264007704811,851.3919413919414,840.5128205128206,857.4358974358975,896.5201465201466,841.7216117216118,0.086365,0.053345,0.983765,5.659943,19.888306,67.343597,1,1,1,1,1,98.953125
2018-03-17 08:05:21.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-03-17 08:05:21.461,0.381371439764524,1.826565802575372,1.111653428143888,1.183076589070216,0.6666069279899075,0.3914956588626245,0.1743558742351732,0.9202491569072659,0.3324011925638471,0.2280586453392032,0.1902346356566923,0.67465913694349,0.07057336613756655,-0.4780649448232033,-0.2093101848569509,0.7138272536675636,-0.3238642631274289,-0.9817401584237372,-0.7465820105671015,0.9110877584377181,821.1721611721612,815.5311355311355,866.3003663003664,752.6739926739926,852.6007326007326,0.069885,0.026550,0.967590,11.230164,-1.936493,-44.935608,1,1,1,1,1,98.953125
2018-03-17 08:05:22.458,0.381371439764524,1.865047551577122,1.458918283341095,1.183076589070216,0.6666069279899075,0.1844264991379801,0.1230512609595147,0.9202491569072659,0.3324011925638471,0.1911831113110151,0.1973338218443357,0.67465913694349,0.07057336613756655,-0.2995322740842611,-0.2421053847993451,0.7138272536675636,-0.3238642631274289,-0.9526527436979693,-0.7950312434612574,0.9110877584377181,840.1098901098901,855.8241758241759,832.4542124542124,881.6117216117217,841.3186813186813,-0.450684,-0.036865,0.886475,-21.293945,2.624359,-2.018738,1,1,1,1,1,98.953125
2018-03-17 08:05:23.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-03-17 08:05:23.451,1.637265748407648,1.524364083596802,1.46405983029109,1.183076589070216,0.8527971839477394,0.5662122080719938,0.2236996521944011,0.9202491569072659,0.9844241818232664,0.2800433896116623,-0.02714046744212264,0.67465913694349,1.019607288427283,-0.3578856735363458,-0.3753501192412358,0.7138272536675636,0.8833782906118096,-0.7661384646026279,-0.823283864302304,0.9110877584377181,805.4578754578755,856.6300366300367,843.3333333333334,145.8608058608059,868.3150183150184,-0.291748,0.161377,0.938049,-4.583282,4.478607,10.871277,1,1,1,1,1,98.953125
2018-03-17 08:05:24.450,1.236895629268041,1.648542435190639,1.075179455303486,1.183076589070216,0.7039114952054559,0.8559937772559175,0.4528912150901588,0.9202491569072659,0.7720416770063478,0.296194155624006,-0.17718993243298,0.67465913694349,0.8450889092182714,-0.3273402449925117,-0.3824725219092751,0.7138272536675636,0.9636211646781123,-0.8119684844549655,-1.047753103095974,0.9110877584377181,786.5201465201466,846.959706959707,848.1684981684982,514.5421245421246,897.7289377289378,-0.302551,0.225281,0.907837,15.155487,5.764618,11.409607,1,1,1,1,1,98.953125
