TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2018-03-17 08:41:30.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-03-17 08:41:30.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2018-03-17 08:41:30.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-03-17 08:41:30.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2018-03-17 08:41:31.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-03-17 08:41:31.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2018-03-17 08:41:31.594,0.60012883283941,0.9570476439567087,0.7951542931640945,0.7252670413357212,0.547197050777655,0.2252043402500859,0.1794509724540923,0.6309361418378131,0.3414089474406974,0.1928071823048392,-0.4030394824077704,0.5432510544481201,0.2784254924579085,0.02547049457819375,-0.5796424887751609,0.9084385416230319,0.01410075362511898,-0.6589439184927492,-0.9515312688460407,0.8064693946991311,882.4175824175825,886.8498168498169,817.1428571428571,941.2454212454213,851.3919413919414,-0.498962,0.682556,0.603210,10.018921,-23.731384,-39.888763,1,1,1,1,1,94.031250
2018-03-17 08:41:31.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-03-17 08:41:31.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2018-03-17 08:41:32.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-03-17 08:41:32.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-03-17 08:41:32.590,0.60012883283941,0.9570476439567087,0.7951542931640945,0.7252670413357212,0.547197050777655,0.2252043402500859,0.1794509724540923,0.6309361418378131,0.3414089474406974,0.1928071823048392,-0.4030394824077704,0.5432510544481201,0.2784254924579085,0.02547049457819375,-0.5796424887751609,0.9084385416230319,0.01410075362511898,-0.6589439184927492,-0.9515312688460407,0.8064693946991311,813.1135531135532,842.9304029304029,621.3186813186813,808.6813186813187,809.8901098901099,-0.656555,0.399963,0.612000,3.013153,2.542114,9.884338,1,2,1,4,4,94.031250
2018-03-17 08:41:32.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2018-03-17 08:41:33.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-03-17 08:41:33.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2018-03-17 08:41:33.591,0.60012883283941,0.9570476439567087,0.7951542931640945,0.7252670413357212,0.547197050777655,0.2252043402500859,0.1794509724540923,0.6309361418378131,0.3414089474406974,0.1928071823048392,-0.4030394824077704,0.5432510544481201,0.2784254924579085,0.02547049457819375,-0.5796424887751609,0.9084385416230319,0.01410075362511898,-0.6589439184927492,-0.9515312688460407,0.8064693946991311,956.1538461538462,840.9157509157509,844.5421245421246,859.047619047619,873.956043956044,-0.666443,0.423767,0.586548,-0.500946,4.358978,11.237640,1,2,1,2,4,94.031250
2018-03-17 08:41:33.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
